# $Id$
#
#  Eine Liste der im System benoetigten Header. Linke Seite ist der
#  Header-Name, rechte Seite das #define fuer den numerischen Code
#  dazu.
#
#
Logbuch-Dir		LOGBUCH_DIR
Lock-Dir		LOCK_DIR
Debuglevel		DEBUGLEVEL
Gate-Path-Env		GATE_PATH_ENV
Netcall-Dir		NETCALL_DIR
Backin-Dir		BACKIN_DIR
Backout-Dir		BACKOUT_DIR
Systeme-Dir		SYSTEME_DIR
Arc-Kommando		ARC_KOMMANDO
XArc-Kommando		XARC_KOMMANDO
Inews-Kommando		INEWS_KOMMANDO
Ortsnetz		TEL_ORTSNETZ
Fernwahl		TEL_FERNWAHL
International		TEL_INTERNATIONAL
EDA			EDA
BET			BET
MID			MID
ABS			ABS
MAILER			MAL
GATE			GATE
ROT			ROT
EMP			EMP
FILE			FIL
LEN			LEN
PRIO			PRIO
ERR			ERR
KOP			KOP
OAB			OAB
OEM			OEM
TYP			TYPE
WAB			WAB
KOM			KOM
BEZ			BEZ
LDA			LDA
VER			VER
CRYPT			CRYPT
# Control: fuer ZConnect UND RFC;
# in Kleinbuchstaben ueblich in RFC.
Control			CONTROL
O-ROT			O_ROT
O-EDA			O_EDA
Public-Key		PUBLIC_KEY
TRACE			TRACE
Zusammenfassung		ZUSAMMENFASSUNG
Stichwort		STICHWORT
ORG			ORG
STAT			STAT
Ersetzt			ERSETZT
Diskussion-In		DISKUSSION_IN
Antwort-An		ANTWORT_AN
System-Name		SYSTEM_NAME
Gate-Domain		GATE_DOMAIN
Zeitzone		ZEITZONE
Sommerzeit		SOMMERZEIT
Gate-Alias-Liste	GATE_ALIAS_LISTE
Gate-Approved-Liste	GATE_APPROVED_LISTE
ZNETZ-Conv		ZNETZ_CONV
Gate-Macro-Datenbank	MACRO_DATENBANK
X-Gateway		X_GATEWAY
Alias			ALIAS
Map			MAP
U-Approved		UU_U_APPROVED
U-To			UU_U_TO
U-Cc			UU_U_CC
U-Bcc			UU_U_BCC
U-From			UU_U_FROM
U-Date			UU_U_DATE
U-Received		UU_U_RECEIVED
U-Expires		UU_U_EXPIRES
U-Control		UU_U_CONTROL
U-NNTP-Posting-Host	UU_U_NNTP_POSTING_HOST
U-Distribution		UU_U_DISTRIBUTION
U-Resent-Reply-To	UU_U_RESENT_REPLY_TO
U-Resent-From		UU_U_RESENT_FROM
U-Resent-Sender		UU_U_RESENT_SENDER
U-Resent-To		UU_U_RESENT_TO
U-Resent-Cc		UU_U_RESENT_CC
U-Resent-Bcc		UU_U_RESENT_BCC
U-Resent-Message-Id	UU_U_RESENT_MESSAGE_ID
U-Encrypted		UU_U_ENCRYPTED
U-Lines			UU_U_LINES
To			UU_TO
Orig-To			UU_ORIG_TO
Newsgroups		UU_NEWSGROUPS
Date			UU_DATE
From			UU_FROM
Subject			UU_SUBJECT
CC			UU_CC
BCC			UU_BCC
Message-ID		UU_MESSAGE_ID
Path			UU_PATH
Reply-TO		UU_REPLY_TO
Sender			UU_SENDER
Posted			UU_POSTED
Received		UU_RECEIVED
In-Reply-To		UU_IN_REPLY_TO
References		UU_REFERENCES
Keywords		UU_KEYWORDS
Comments		UU_COMMENTS
Encrypted		UU_ENCRYPTED
Followup-To		UU_FOLLOWUP_TO
Expires			UU_EXPIRES
Distribution		UU_DISTRIBUTION
Organization		UU_ORGANIZATION
Summary			UU_SUMMARY
Approved		UU_APPROVED
Lines			UU_LINES
Supersedes		UU_SUPERSEDES
XRef			UU_XREF
X-Mailer		UU_X_MAILER
Return-Receipt-To	UU_RETURN_RECEIPT_TO
NNTP-Posting-Host	UU_NNTP_POSTING_HOST
Resent-Reply-To		UU_RESENT_REPLY_TO
Resent-From		UU_RESENT_FROM
Resent-Sender		UU_RESENT_SENDER
Resent-To		UU_RESENT_TO
Resent-Cc		UU_RESENT_CC
Resent-Bcc		UU_RESENT_BCC
Resent-Message-Id	UU_RESENT_MESSAGE_ID
EB			EB
CRC			CRC
STATUS			STATUS
Sys			SYS
Passwd			PASSWD
ArcerOut		ARCEROUT
ArcerIn			ARCERIN
ARC			ARC
Proto			PROTO
Port			PORT
X-Call			X_CALL
Domain			DOMAIN
Point-User		POINT_USER
I-am-Point		I_AM_POINT
Path-Default		PATH_DEFAULT
Path-Qualifier		PATH_QUALIFIER
Local-Domain		LOCAL_DOMAIN
Import-Kommando		IMPORT_KOMMANDO
Fileserver-Dir		FILESERVER_DIR
Fileserver-Upload-Dir	FILESERVER_UPLOAD_DIR
Autoeintrag-Defaults	AUTOEINTRAG_DEFAULTS
Who-Am-I		WHO_AM_I
LOGOFF			LOGOFF
GET			GET
PUT			PUT
DELETE			DELETE
FILESEND		FILESEND
FILEREQ			FILEREQ
WAIT			WAIT
EXECUTE			EXECUTE
TEL			TEL
MIME-Version		UU_MIME_VERSION
Content-Type		UU_CONTENT_TYPE
Content-Transfer-Encoding		UU_CONTENT_TRANSFER_ENCODING
Content-Length		CONTENT_LENGTH
Modem-Dialog		MODEM_DIALOG
Modem-Dial		MODEM_DIAL
X-Testaccount		X_TESTACCOUNT
X-DONT-GATE-IT		X_DONT_GATE_IT
Charset			CHARSET
U-Mime-Version			UU_U_MIME_VERSION
U-Content-Transfer-Encoding	UU_U_CONTENT_TRANSFER_ENCODING
U-Content-Type			UU_U_CONTENT_TYPE
X-Comment-To		UU_X_COMMENT_TO
F-To			F_TO
